date,day of week,time,breakfast type,breakfast category,beverage type,homemade,activity after,activity category,time crunch,with friends,location,cooked,prepped,breakfast categories,activity categories
2024-04-15,monday,10:04,avocado toast,avo toast ,water,yes,gym,gym,yes,no,home,no,no,toast,school
2024-04-16,tuesday,8:49,avocado toast,avo toast ,tea,yes,pottery,pottery,yes,no,home,no,no,special toast (+ meat or cheese),work
2024-04-17,wednesday,8:57,avo + salami toast,special toast ,tea,yes,homework,homework,no,no,home,yes,no,avo toast ,pottery 
2024-04-18,thursday,9:33,avo toast + yogurt,avo toast + yogurt ,tea,yes,homework,homework,no,no,home,no,no,eggs ,homework 
2024-04-19,friday,9:12,eggs + toast,eggs + toast,tea,yes,homework,homework,no,no,home,yes,no,yogurt ,recreation
2024-04-20,saturday,11:37,burrito,sandwich ,coffee,no,symposium,work,no,yes,bf's house,yes,no,sandwich ,fitness
2024-04-21,sunday,12:26,burger,sandwich ,water,yes,earth day festival,recreation,no,yes,bf's house,no,no,smoothie bowl,housework
2024-04-22,monday,9:07,avocado toast,avo toast ,water,yes,job interview,work,yes,no,home,no,no,lunch,health
2024-04-23,tuesday,8:33,toast + yogurt,toast + yogurt ,tea,yes,pottery,pottery,yes,no,home,no,no,,
2024-04-24,wednesday,8:57,toast + boiled egg,toast + eggs,tea,yes,PT,gym,yes,no,home,no,yes,,
2024-04-25,thursday,8:43,avo toast + deli meat,special toast ,tea,yes,meeting,work,yes,no,home,yes,no,,
2024-04-26,friday,9:15,toast + yogurt,toast + yogurt ,tea,yes,homework,homework,no,no,home,no,no,,
2024-04-27,saturday,12:34,chicken tenders,lunch,tea,no,cleaning,work,no,yes,home,yes,yes,,
2024-04-28,sunday,11:49,indian brunch,lunch,smoothie,yes,beach,recreation,no,yes,home,yes,yes,,
2024-04-29,monday,8:36,special toast + yogurt,toast + yogurt,tea,yes,PT,gym,yes,yes,home,no,no,,
2024-04-30,tuesday,9:05,eggs + toast,eggs + toast,tea,yes,pottery,pottery,yes,no,home,no,yes,,
2024-05-01,wednesday,9:35,special toast,special toast ,tea,yes,gym,gym,yes,no,home,yes,no,,
2024-05-02,thursday,8:37,special toast,special toast ,tea,yes,pottery,pottery,yes,no,home,yes,no,,
2024-05-03,friday,9:32,yogurt + toast,yogurt + toast,tea,yes,homework,homework,no,no,home,no,no,,
2024-05-04,saturday,10:11,salad,lunch,water,yes,homework,homework,no,no,home,yes,yes,,
2024-05-05,sunday,10:02,sandwich,sandwich ,water,no,botanic garden,recreation,no,yes,restaurant,yes,no,,
2024-05-06,monday,8:54,bagel,sandwich ,water,no,walk,recreation,no,yes,restauant,yes,no,,
2024-05-07,tuesday,9:05,toast + yogurt,toast + yogurt,tea,yes,hw,homework,no,no,home,no,no,,
2024-05-08,wednesday,9:45,special toast,special toast,tea,yes,hw,homework,yes,no,home,yes,no,,
2024-05-09,thursday,9:08,toast,toast,water,yes,pottery,pottery,yes,no,home,no,no,,
2024-05-10,friday,8:47,special toast,special toast,tea,yes,gym,gym,no,no,home,yes,no,,
2024-05-11,saturday,12:15,lunch,lunch,water,no,recreation,recreation,no,yes,restaurant,yes,no,,
2024-05-12,sunday,12:22,smoothie,smoothie,tea,yes,recreation,recreation,no,yes,home,no,no,,
2024-05-13,monday,8:07,toast,toast,water,yes,PT,gym,yes,no,home,no,no,,
2024-05-14,tuesday,9:12,toast + yogurt,toast + yogurt,tea,yes,pottery,pottery,yes,no,home,no,no,,
2024-05-15,wednesday,8:24,toast + yogurt,toast + yogurt ,tea,yes,work,work,yes,no,home,no,no,,
2024-05-16,thursday,8:57,special toast,special toast,tea,yes,homework,homework,no,no,home,yes,no,,
2024-05-17,friday,9:45,special toast,special toast,tea,yes,work,work,no,no,home,yes,no,,
2024-05-18,saturday,9:15,special toast,special toast,tea,yes,SCI,recreation,yes,no,home,yes,no,,
2024-05-19,sunday,9:50,special toast,special toast,water,yes,hike,recreation,no,yes,SCI,yes,no,,
2024-05-20,monday,8:02,toast,toast,water,yes,PT,gym,yes,no,home,no,no,,
2024-05-21,tuesday,8:24,toast + yogurt,toast + yogurt,tea,yes,pottery,pottery,yes,no,home,no,no,,
2024-05-22,wednesday,9:07,special toast,special toast,tea,yes,homework,homework,no,no,home,yes,no,,
2024-05-23,thursday,,,,,,,,,,,,,,
2024-05-24,friday,,,,,,,,,,,,,,
2024-05-25,saturday,,,,,,,,,,,,,,
2024-05-26,sunday,,,,,,,,,,,,,,
2024-05-27,monday,,,,,,,,,,,,,,
2024-05-28,tuesday,,,,,,,,,,,,,,
2024-05-29,wednesday,,,,,,,,,,,,,,
2024-05-30,thursday,,,,,,,,,,,,,,
2024-05-31,friday,,,,,,,,,,,,,,
2024-06-01,saturday,,,,,,,,,,,,,,
2024-06-02,sunday,,,,,,,,,,,,,,
